date,rain(mm) in NAHAL ZAVOA CROSS.csv 
1952-1953,110.0
1953-1954,144.1
1954-1955,116.0
1955-1956,144.0
1956-1957,228.0
1957-1958,73.0
1958-1959,141.0
1959-1960,52.0
1960-1961,123.0
1961-1962,72.0
1962-1963,30.0
1963-1964,195.0
1964-1965,208.0
1965-1966,92.0
1966-1967,140.0
1967-1968,125.0
1968-1969,86.0
1969-1970,76.0
1970-1971,156.0
1971-1972,243.0
1972-1973,65.0
1973-1974,201.0
1974-1975,109.0
1975-1976,87.0
1976-1977,84.0
1977-1978,78.0
1978-1979,100.0
1979-1980,182.0
1980-1981,147.0
1981-1982,57.0
1982-1983,174.0
1983-1984,84.0
1984-1985,85.0
1985-1986,182.0
1986-1987,117.5
1987-1988,149.0
1988-1989,134.0
1989-1990,121.0
1990-1991,156.0
1991-1992,209.0
1992-1993,107.0
1993-1994,117.0
1994-1995,264.0
1995-1996,51.0
1996-1997,101.0
1997-1998,125.0
1998-1999,52.0
1999-2000,50.0
2000-2001,129.0
2001-2002,127.0
2002-2003,115.0
2003-2004,99.0
2004-2005,107.0
2005-2006,80.0
2006-2007,158.0
2007-2008,75.0
2008-2009,38.0
2009-2010,188.0
2010-2011,
2011-2012,56.0
2012-2013,118.0
2013-2014,123.0
2014-2015,176.0
2015-2016,136.0
2016-2017,80.0
2017-2018,113.0
2018-2019,99.5
2019-2020,170.5
2020-2021,67.0
2021-2022,83.0
